Customer_ID,Company_Name,Industry,Segment,Company_Revenue,ARR,Contract_Value,Product_Features_Used,Usage_Frequency,Data_Usage,License_Count,Last_Activity_Date,Engagement_Score,NPS_Score,Support_Requests,Average_Response_Time,Resolution_Time,Health_Score,Churn_Risk_Score,Renewal_Date,CSAT_Score,Customer_Feedback,Upsell_Opportunity,Referral_Count,Custom_Features,API_Calls,Churned,CSM,Days_since_last_activity,Contract_Start_Date,Contract_length
29,Company_29,Finance,Mid-Market,762692,34944,557,5,Monthly,1,8,2021-01-07,78.0,25,3,4,20.0,53.0,20,2037-01-30,6,Negative,False,2,2,9,False,CSM_Mid_24,724,2035-05-18,623
30,Company_30,Finance,Emerging,246614,6106,2946,3,Monthly,2,13,2021-01-07,88.0,-61,2,14,29.0,51.0,66,2032-06-07,18,Neutral,True,0,0,5,False,CSM_Eme_1,724,2031-01-16,508
31,Company_31,Education,Emerging,6692,16851,1525,4,Daily,2,4,2021-01-03,93.0,-86,2,11,19.0,42.0,7,2042-03-03,62,Negative,False,0,0,15,False,CSM_Eme_8,728,2041-05-08,299
32,Company_32,Finance,Mid-Market,140488,7458,2603,1,Monthly,11,10,2021-01-04,2.0,-56,3,7,33.63528122173864,23.5,1,2020-01-06,40,Negative,False,2,1,9,True,CSM_Mid_13,727,2018-11-01,431
33,Company_33,Finance,Enterprise,1228395,25695,624,3,Weekly,1,8,2021-01-06,57.0,-89,4,13,28.0,92.0,13,2048-02-02,94,Neutral,True,1,3,5,False,CSM_Ent_26,725,2046-03-15,689
34,Company_34,Technology,Enterprise,11097,7011,701,2,Weekly,3,12,2021-01-03,9.5,-85,4,10,27.791816829162148,30.0,91,2020-01-07,69,Negative,True,0,1,14,True,CSM_Ent_13,728,2019-03-08,305
35,Company_35,Education,Mid-Market,315206,9736,8063,4,Daily,0,9,2021-01-01,39.5,80,8,9,28.67397684810716,43.5,14,2020-01-08,25,Negative,False,3,2,11,True,CSM_Mid_27,730,2019-06-19,203
36,Company_36,Manufacturing,Enterprise,780786,58458,7117,4,Weekly,10,12,2021-01-02,79.0,27,2,14,26.0,94.0,7,2037-10-17,70,Positive,False,0,1,8,False,CSM_Ent_19,729,2036-02-01,624
37,Company_37,Education,Enterprise,583488,7299,550,3,Weekly,3,10,2021-01-01,32.0,-85,3,21,20.0,76.0,36,2047-08-17,29,Negative,False,1,0,10,False,CSM_Ent_28,730,2046-11-13,277
38,Company_38,Manufacturing,Enterprise,857601,49857,5509,1,Weekly,5,9,2021-01-03,93.0,66,2,15,22.0,79.0,90,2025-08-05,33,Positive,False,2,1,11,False,CSM_Ent_14,728,2024-02-08,544
39,Company_39,Technology,Mid-Market,517400,6650,4699,4,Weekly,6,8,2021-01-01,22.0,-39,2,11,21.0,67.0,40,2047-09-23,94,Neutral,True,1,0,11,False,CSM_Mid_26,730,2046-02-27,573
40,Company_40,Healthcare,Emerging,235551,350,6247,2,Daily,3,9,2021-01-03,50.0,-83,6,8,18.0,54.0,97,2026-06-18,2,Neutral,True,2,2,14,False,CSM_Eme_17,728,2025-09-12,279
41,Company_41,Finance,Enterprise,1034034,3492,3216,3,Weekly,1,9,2021-01-07,36.0,-65,2,10,35.0,68.0,7,2045-03-23,26,Positive,False,3,1,10,False,CSM_Ent_37,724,2044-09-15,189
42,Company_42,Technology,Emerging,207516,13699,1573,1,Monthly,9,12,2021-01-07,26.5,7,6,14,35.38138368897458,24.0,60,2020-01-09,42,Negative,False,0,2,14,True,CSM_Eme_9,724,2018-02-18,690
43,Company_43,Finance,Mid-Market,205944,6078,5448,5,Weekly,3,11,2021-01-04,81.0,43,2,8,24.0,72.0,64,2033-10-11,61,Positive,False,2,0,9,False,CSM_Mid_5,727,2032-04-15,544
44,Company_44,Healthcare,Strategic,638485,53085,2320,6,Daily,4,9,2021-01-01,77.0,-35,0,7,21.0,90.0,42,2028-10-06,35,Positive,False,1,2,7,False,CSM_Str_10,730,2028-02-23,226
45,Company_45,Healthcare,Emerging,252267,12013,1235,8,Daily,2,12,2021-01-06,29.5,-96,8,17,36.09650924573666,26.5,70,2020-01-10,26,Neutral,False,1,0,14,True,CSM_Eme_8,725,2019-02-14,330
46,Company_46,Technology,Mid-Market,835976,8466,2626,5,Monthly,2,9,2021-01-04,57.0,5,2,12,37.0,82.0,10,2028-05-08,80,Neutral,False,1,2,12,False,CSM_Mid_25,727,2027-03-29,406
47,Company_47,Healthcare,Mid-Market,127100,12884,7204,3,Weekly,2,6,2021-01-04,48.5,-12,6,15,40.85280371105675,35.5,15,2020-01-11,23,Negative,False,1,0,9,True,CSM_Mid_5,727,2019-07-01,194
48,Company_48,Manufacturing,Emerging,83733,5171,3229,7,Daily,2,7,2021-01-05,87.0,90,4,10,24.0,38.0,97,2050-01-14,74,Neutral,True,0,0,12,False,CSM_Eme_10,726,2048-08-02,530
49,Company_49,Healthcare,Enterprise,1601925,88320,1782,7,Weekly,1,16,2021-01-02,49.0,-38,2,13,21.0,84.0,32,2034-10-31,19,Neutral,False,0,2,4,False,CSM_Ent_26,729,2033-03-20,590
50,Company_50,Finance,Mid-Market,345584,7710,8915,4,Monthly,12,15,2021-01-02,22.0,6,3,7,31.0,81.0,56,2034-08-05,3,Neutral,False,1,4,4,False,CSM_Mid_28,729,2033-01-07,575
51,Company_51,Finance,Strategic,197185,10125,10670,4,Weekly,2,7,2021-01-03,40.0,50,3,9,30.0,81.0,20,2026-11-18,13,Negative,False,1,1,11,False,CSM_Str_46,728,2026-01-25,297
52,Company_52,Finance,Emerging,217947,4550,2839,5,Daily,4,8,2021-01-03,98.0,-73,2,12,18.0,68.0,50,2042-02-03,26,Positive,True,1,2,10,False,CSM_Eme_12,728,2041-04-14,295
53,Company_53,Finance,Mid-Market,1873778,22142,2347,4,Monthly,13,10,2021-01-07,8.5,54,2,14,29.831218847704786,43.0,51,2020-01-12,48,Positive,False,1,1,7,True,CSM_Mid_26,724,2018-10-30,439
54,Company_54,Manufacturing,Mid-Market,693668,23904,4742,4,Weekly,2,11,2021-01-05,21.5,56,2,9,31.717477848863584,29.5,57,2020-01-13,29,Negative,False,1,2,9,True,CSM_Mid_17,726,2019-05-29,229
55,Company_55,Education,Enterprise,821640,77331,298,5,Daily,3,15,2021-01-05,42.0,53,3,15,37.49161575742659,47.0,43,2020-01-14,62,Negative,False,2,2,6,True,CSM_Ent_30,726,2018-03-01,684
56,Company_56,Technology,Mid-Market,93300,42698,5877,4,Monthly,2,10,2021-01-03,1.0,85,2,9,14.0,67.0,68,2030-10-19,59,Neutral,False,1,1,10,False,CSM_Mid_19,728,2028-12-18,670
57,Company_57,Finance,Emerging,417720,3401,7622,1,Monthly,3,8,2021-01-02,24.0,29,3,10,48.965128440242985,33.0,16,2020-01-15,1,Negative,False,1,2,12,True,CSM_Eme_2,729,2018-11-28,413
58,Company_58,Healthcare,Mid-Market,298440,12144,2532,5,Monthly,5,16,2021-01-02,20.0,49,2,10,15.0,50.0,95,2029-01-17,93,Positive,False,1,0,11,False,CSM_Mid_21,729,2028-04-09,283
59,Company_59,Finance,Mid-Market,880336,27508,959,3,Monthly,4,10,2021-01-05,41.0,23,2,15,16.0,82.0,54,2042-04-02,58,Neutral,False,1,0,16,False,CSM_Mid_7,726,2041-03-13,385
60,Company_60,Healthcare,Mid-Market,160088,49666,146,6,Weekly,1,10,2021-01-06,59.0,-48,2,10,20.0,53.0,46,2038-10-14,44,Neutral,False,1,0,9,False,CSM_Mid_19,725,2037-08-04,436
61,Company_61,Healthcare,Emerging,12811,4112,5070,7,Daily,2,13,2021-01-02,97.0,45,5,2,24.0,40.0,1,2046-03-17,85,Neutral,True,1,1,10,False,CSM_Eme_8,729,2044-09-12,551
62,Company_62,Finance,Mid-Market,258486,11754,1566,3,Daily,1,14,2021-01-03,34.0,-74,2,9,14.0,54.0,17,2034-10-15,84,Positive,False,1,1,9,False,CSM_Mid_4,728,2032-12-18,666
63,Company_63,Manufacturing,Emerging,62897,22973,3117,4,Daily,7,7,2021-01-02,5.0,75,1,14,18.0,66.0,24,2026-05-11,90,Neutral,False,2,1,9,False,CSM_Eme_8,729,2024-12-20,507
64,Company_64,Healthcare,Emerging,251214,4439,2441,5,Monthly,2,8,2021-01-02,86.0,0,0,14,26.0,61.0,71,2034-05-13,25,Neutral,False,2,1,16,False,CSM_Eme_4,729,2033-10-06,219
65,Company_65,Healthcare,Mid-Market,1259614,13098,961,5,Daily,3,9,2021-01-06,37.0,-42,1,13,22.0,65.0,52,2040-03-13,41,Negative,False,2,0,9,False,CSM_Mid_1,725,2039-01-20,418
66,Company_66,Finance,Enterprise,704598,70458,3550,5,Daily,3,9,2021-01-05,73.0,72,2,12,27.0,76.0,74,2026-01-29,16,Neutral,True,0,0,8,False,CSM_Ent_4,726,2024-11-07,448
67,Company_67,Healthcare,Mid-Market,871912,32414,3077,5,Daily,3,10,2021-01-07,41.5,6,1,13,32.82998705375338,39.5,10,2020-01-16,67,Negative,False,2,1,13,True,CSM_Mid_23,724,2018-06-02,593
68,Company_68,Healthcare,Emerging,120670,2789,4892,3,Monthly,3,11,2021-01-06,97.0,4,0,14,25.0,36.0,83,2026-12-05,57,Positive,False,3,2,16,False,CSM_Eme_7,725,2025-09-04,457
69,Company_69,Finance,Enterprise,886101,11781,1450,5,Monthly,1,11,2021-01-06,25.0,-31,5,12,29.457128322087637,46.5,89,2020-01-17,94,Neutral,True,0,2,10,True,CSM_Ent_7,725,2019-06-20,211
70,Company_70,Finance,Mid-Market,740714,8706,1208,3,Daily,8,8,2021-01-01,18.0,-36,2,12,18.0,88.0,48,2041-05-29,8,Positive,False,0,3,8,False,CSM_Mid_7,730,2040-04-10,414
71,Company_71,Technology,Emerging,248179,24388,8419,4,Daily,4,11,2021-01-07,62.0,-8,2,17,27.0,65.0,23,2030-12-31,54,Negative,False,0,1,11,False,CSM_Eme_18,724,2030-03-02,304
72,Company_72,Manufacturing,Mid-Market,283528,136870,6056,7,Monthly,0,6,2021-01-01,11.5,-90,10,13,33.94726550393032,41.5,55,2020-01-18,2,Negative,False,0,0,13,True,CSM_Mid_20,730,2019-03-13,311
73,Company_73,Manufacturing,Mid-Market,393256,29744,7396,5,Daily,1,9,2021-01-03,30.0,-8,6,11,31.426585992446647,26.0,11,2020-01-19,53,Negative,False,2,3,13,True,CSM_Mid_12,728,2018-07-27,541
74,Company_74,Healthcare,Enterprise,723396,19866,657,5,Monthly,9,15,2021-01-03,57.0,75,0,8,26.0,98.0,80,2039-10-02,60,Neutral,True,0,2,9,False,CSM_Ent_10,728,2037-11-12,689
75,Company_75,Manufacturing,Enterprise,175080,306,1268,2,Daily,2,8,2021-01-04,3.0,3,3,14,40.969236165577236,49.5,35,2020-01-20,83,Positive,True,2,1,8,True,CSM_Ent_35,727,2018-10-14,463
76,Company_76,Healthcare,Emerging,331703,11956,4284,6,Weekly,6,7,2021-01-07,36.5,-10,2,13,31.405595861731488,13.5,92,2020-01-21,2,Neutral,False,1,0,6,True,CSM_Eme_1,724,2018-02-03,717
77,Company_77,Technology,Strategic,3002240,24660,9731,2,Weekly,1,16,2021-01-04,99.0,48,3,11,27.0,84.0,94,2036-02-11,96,Positive,True,0,2,13,False,CSM_Str_46,727,2035-04-23,294
78,Company_78,Finance,Enterprise,375561,30069,11133,1,Monthly,3,4,2021-01-02,83.0,76,2,11,21.0,92.0,67,2037-10-17,28,Positive,False,1,2,8,False,CSM_Ent_20,729,2036-10-18,364
79,Company_79,Finance,Emerging,241507,9331,8916,4,Monthly,3,13,2021-01-02,5.0,-28,1,17,20.0,53.0,3,2031-03-27,99,Neutral,False,1,0,11,False,CSM_Eme_9,729,2029-06-23,642
80,Company_80,Finance,Mid-Market,534278,13110,221,5,Weekly,4,11,2021-01-04,54.0,66,2,8,23.0,44.0,69,2048-01-27,82,Neutral,True,0,2,13,False,CSM_Mid_10,727,2046-11-10,443
81,Company_81,Manufacturing,Emerging,217088,28893,8598,6,Weekly,6,12,2021-01-07,61.0,7,2,9,36.0,57.0,95,2045-05-22,62,Positive,False,2,0,12,False,CSM_Eme_16,724,2043-09-19,611
82,Company_82,Technology,Emerging,158423,234,11467,8,Daily,0,8,2021-01-01,27.0,17,3,7,30.0,34.0,2,2038-08-22,50,Neutral,False,1,1,10,False,CSM_Eme_3,730,2036-12-29,601
83,Company_83,Manufacturing,Enterprise,1280454,37356,292,5,Weekly,3,14,2021-01-04,49.0,90,5,13,30.0,74.0,3,2043-02-20,83,Neutral,True,1,1,12,False,CSM_Ent_1,727,2041-08-01,568
84,Company_84,Manufacturing,Strategic,595885,26365,2691,9,Weekly,8,16,2021-01-07,65.0,61,2,19,17.0,99.0,30,2034-12-23,8,Neutral,False,1,0,6,False,CSM_Str_36,724,2034-03-29,269
85,Company_85,Technology,Emerging,12609,12510,3845,2,Daily,1,10,2021-01-02,7.5,25,5,12,43.43227561070067,25.0,45,2020-01-22,10,Positive,False,2,2,10,True,CSM_Eme_11,729,2019-05-08,259
86,Company_86,Technology,Mid-Market,744588,22492,1324,3,Weekly,7,9,2021-01-06,49.0,-44,3,12,22.0,47.0,52,2045-07-05,70,Negative,False,2,0,4,False,CSM_Mid_18,725,2043-10-28,616
87,Company_87,Technology,Enterprise,672480,306,3635,3,Monthly,3,7,2021-01-02,49.0,89,6,9,31.99503850367534,46.5,90,2020-01-23,59,Negative,False,1,2,9,True,CSM_Ent_39,729,2018-07-16,556
88,Company_88,Technology,Emerging,378437,3359,10855,6,Daily,2,12,2021-01-03,13.0,-30,1,9,36.0,64.0,33,2044-03-20,74,Neutral,False,0,0,11,False,CSM_Eme_10,728,2043-06-15,279
89,Company_89,Finance,Strategic,149135,10480,10084,13,Weekly,0,7,2021-01-01,17.0,-27,0,11,30.0,89.0,15,2027-05-10,81,Neutral,False,1,1,10,False,CSM_Str_22,730,2026-07-22,292
90,Company_90,Education,Emerging,6247,1827,14053,4,Monthly,11,8,2021-01-07,19.0,-98,0,9,22.0,24.0,47,2026-01-21,58,Neutral,False,1,1,15,False,CSM_Eme_4,724,2024-09-03,505
91,Company_91,Education,Enterprise,1634274,39111,3309,6,Monthly,6,12,2021-01-05,27.0,-66,0,13,23.0,62.0,96,2051-02-10,41,Negative,True,0,0,4,False,CSM_Ent_37,726,2050-01-02,404
92,Company_92,Technology,Enterprise,95907,8214,2642,5,Weekly,1,16,2021-01-05,59.0,39,2,11,20.0,97.0,15,2050-04-06,10,Negative,False,0,0,3,False,CSM_Ent_24,726,2049-05-03,338
93,Company_93,Education,Enterprise,995340,19314,5479,3,Monthly,11,14,2021-01-04,48.0,-57,1,5,31.0,81.0,11,2040-08-26,23,Negative,False,3,1,8,False,CSM_Ent_6,727,2038-12-17,618
94,Company_94,Education,Emerging,346558,2836,2695,4,Monthly,1,6,2021-01-06,94.0,48,4,10,27.0,37.0,61,2049-02-05,4,Negative,False,0,1,7,False,CSM_Eme_6,725,2047-12-13,420
95,Company_95,Technology,Mid-Market,493366,17360,214,9,Daily,5,5,2021-01-07,3.0,82,6,8,25.0,46.0,36,2050-06-06,6,Positive,False,1,0,14,False,CSM_Mid_25,724,2048-12-24,529
96,Company_96,Education,Emerging,28142,12750,6363,4,Weekly,3,7,2021-01-01,91.0,34,2,15,23.0,48.0,70,2050-07-13,51,Neutral,False,2,0,8,False,CSM_Eme_10,730,2048-08-30,682
97,Company_97,Manufacturing,Mid-Market,440324,8040,1649,2,Weekly,0,11,2021-01-02,84.0,61,4,6,31.0,59.0,63,2043-04-12,75,Negative,False,2,2,6,False,CSM_Mid_28,729,2042-04-29,348
98,Company_98,Healthcare,Mid-Market,879602,18476,251,6,Monthly,1,9,2021-01-01,44.0,96,4,5,26.0,89.0,17,2028-11-11,8,Positive,True,2,0,7,False,CSM_Mid_2,730,2026-11-29,713
99,Company_99,Healthcare,Enterprise,332586,52263,104,5,Monthly,5,10,2021-01-07,43.0,87,4,7,28.0,71.0,17,2048-05-17,36,Neutral,False,0,0,16,False,CSM_Ent_31,724,2046-11-04,560
100,Company_100,Technology,Mid-Market,213444,1978,13394,5,Daily,2,10,2021-01-05,31.0,-86,2,15,24.0,62.0,13,2045-05-09,12,Negative,False,3,1,12,False,CSM_Mid_11,726,2044-08-01,281
101,Company_101,Finance,Mid-Market,233974,24802,1452,9,Weekly,2,8,2021-01-05,72.0,-36,2,9,21.0,80.0,25,2030-03-23,13,Positive,False,3,2,5,False,CSM_Mid_6,726,2028-06-24,637
102,Company_102,Technology,Mid-Market,34340,7804,2970,6,Daily,7,11,2021-01-06,98.0,27,0,12,26.0,58.0,32,2048-12-20,32,Neutral,False,0,0,13,False,CSM_Mid_5,725,2048-05-25,209
103,Company_103,Finance,Enterprise,1335516,3924,15036,3,Daily,9,9,2021-01-05,19.0,90,0,15,30.0,95.0,76,2034-08-03,51,Positive,False,0,2,7,False,CSM_Ent_8,726,2034-01-27,188
104,Company_104,Healthcare,Emerging,406790,7888,3151,5,Weekly,3,11,2021-01-04,93.0,25,5,6,24.0,51.0,37,2042-08-06,1,Neutral,True,1,0,9,False,CSM_Eme_16,727,2041-04-09,484
105,Company_105,Technology,Enterprise,3702159,7695,409,6,Weekly,3,10,2021-01-05,57.0,36,2,17,6.0,78.0,90,2034-10-17,13,Neutral,False,1,0,8,False,CSM_Ent_9,726,2032-11-08,708
106,Company_106,Manufacturing,Emerging,175983,17223,4014,4,Weekly,5,8,2021-01-02,46.0,82,5,15,21.0,53.0,53,2041-04-12,15,Negative,False,1,1,11,False,CSM_Eme_14,729,2040-08-26,229
107,Company_107,Education,Strategic,1391070,2190,461,3,Monthly,4,5,2021-01-01,4.0,-7,4,11,39.0,92.0,41,2047-10-08,42,Neutral,False,1,1,11,False,CSM_Str_10,730,2045-11-28,679
108,Company_108,Finance,Mid-Market,90594,2076,499,0,Daily,0,8,2021-01-04,1.0,51,0,10,17.0,72.0,80,2031-10-29,16,Neutral,False,1,3,9,False,CSM_Mid_5,727,2030-12-20,313
109,Company_109,Education,Mid-Market,440480,14720,9535,5,Monthly,1,9,2021-01-04,84.0,-56,2,11,16.0,79.0,45,2040-03-18,17,Neutral,False,0,0,7,False,CSM_Mid_22,727,2038-10-25,510
110,Company_110,Education,Mid-Market,419622,17780,1708,3,Monthly,4,10,2021-01-04,39.0,98,2,5,31.548210112152454,36.5,99,2020-01-24,6,Negative,False,0,1,10,True,CSM_Mid_11,727,2019-04-24,275
111,Company_111,Technology,Mid-Market,925898,26178,5676,7,Weekly,4,12,2021-01-06,66.0,41,1,7,25.0,40.0,58,2034-10-27,85,Positive,False,0,0,6,False,CSM_Mid_8,725,2032-12-08,688
112,Company_112,Education,Mid-Market,710652,6002,3555,4,Weekly,1,10,2021-01-01,86.0,64,0,10,18.0,51.0,11,2035-01-26,95,Positive,True,2,0,13,False,CSM_Mid_25,730,2034-02-09,351
113,Company_113,Manufacturing,Mid-Market,1115268,36872,1257,2,Weekly,6,13,2021-01-03,28.0,-50,9,14,21.0,81.0,38,2036-04-05,77,Negative,False,0,3,17,False,CSM_Mid_23,728,2035-09-13,205
114,Company_114,Education,Emerging,406257,30606,3647,7,Daily,5,6,2021-01-03,59.0,51,2,8,29.0,63.0,86,2024-11-21,84,Negative,False,1,1,9,False,CSM_Eme_3,728,2024-01-13,313
115,Company_115,Technology,Mid-Market,812088,13824,357,2,Weekly,7,6,2021-01-03,35.0,-46,3,7,14.0,60.0,67,2037-04-09,24,Positive,False,2,1,6,False,CSM_Mid_2,728,2035-04-30,710
116,Company_116,Manufacturing,Emerging,13168,14293,2132,3,Monthly,7,10,2021-01-06,46.0,-93,3,9,31.0,67.0,20,2025-11-16,55,Negative,False,1,3,8,False,CSM_Eme_11,725,2024-04-06,589
117,Company_117,Healthcare,Enterprise,1122333,22323,3699,4,Daily,3,10,2021-01-05,47.0,-76,1,15,19.0,66.0,69,2042-05-15,76,Positive,False,1,0,11,False,CSM_Ent_13,726,2040-12-11,520
118,Company_118,Education,Mid-Market,374064,1438,1296,6,Monthly,11,11,2021-01-07,46.0,-56,3,12,25.0,68.0,79,2031-05-15,89,Negative,True,0,1,5,False,CSM_Mid_2,724,2030-01-16,484
119,Company_119,Technology,Mid-Market,191500,7892,5396,11,Weekly,0,5,2021-01-03,15.0,12,2,16,43.96877568681451,33.5,3,2020-01-25,87,Negative,False,0,1,3,True,CSM_Mid_3,728,2018-03-29,667
120,Company_120,Healthcare,Mid-Market,23268,1830,266,5,Monthly,0,13,2021-01-04,51.0,10,2,15,16.0,87.0,57,2040-09-02,75,Neutral,True,1,1,15,False,CSM_Mid_13,727,2039-04-22,499
121,Company_121,Healthcare,Mid-Market,452876,89978,3316,6,Daily,2,5,2021-01-04,90.0,-76,6,11,25.0,81.0,96,2047-08-03,11,Negative,False,0,2,9,False,CSM_Mid_9,727,2046-07-04,395
122,Company_122,Finance,Mid-Market,159118,5202,6276,9,Weekly,1,13,2021-01-07,65.0,-38,2,18,25.0,55.0,6,2040-12-06,83,Positive,False,1,0,7,False,CSM_Mid_20,724,2040-03-29,252
123,Company_123,Manufacturing,Enterprise,378414,30309,2810,4,Monthly,4,8,2021-01-05,48.0,-98,4,13,21.0,66.0,13,2044-08-23,32,Positive,False,0,0,8,False,CSM_Ent_30,726,2044-01-10,226
